127.0.0.1 - - [12/May/2022:00:05:11 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:12 +0700] "GET /CNPM/ HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:12 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:17 +0700] "GET /CNPM/QL_TrangChu.html HTTP/1.1" 200 17442
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:17 +0700] "GET /CNPM/resources/assets/img/logo.png;jsessionid=71755A0CD145B9996503E11140EA87C4 HTTP/1.1" 200 738
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:17 +0700] "GET /CNPM/resources/assets/img/profile-img.jpg;jsessionid=71755A0CD145B9996503E11140EA87C4 HTTP/1.1" 200 4957
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:17 +0700] "GET /CNPM/resources/assets/vendor/quill/quill.bubble.css;jsessionid=71755A0CD145B9996503E11140EA87C4 HTTP/1.1" 200 25309
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:17 +0700] "GET /CNPM/resources/assets/vendor/quill/quill.snow.css;jsessionid=71755A0CD145B9996503E11140EA87C4 HTTP/1.1" 200 24778
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:17 +0700] "GET /CNPM/resources/assets/vendor/bootstrap-icons/bootstrap-icons.css;jsessionid=71755A0CD145B9996503E11140EA87C4 HTTP/1.1" 200 73348
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:17 +0700] "GET /CNPM/resources/assets/vendor/boxicons/css/boxicons.min.css;jsessionid=71755A0CD145B9996503E11140EA87C4 HTTP/1.1" 200 65833
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:17 +0700] "GET /assets/vendor/apexcharts/apexcharts.min.js HTTP/1.1" 404 727
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:17 +0700] "GET /assets/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:17 +0700] "GET /CNPM/resources/assets/vendor/simple-datatables/style.css;jsessionid=71755A0CD145B9996503E11140EA87C4 HTTP/1.1" 200 3079
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:17 +0700] "GET /CNPM/resources/assets/css/style.css;jsessionid=71755A0CD145B9996503E11140EA87C4 HTTP/1.1" 200 21185
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:17 +0700] "GET /assets/vendor/chart.js/chart.min.js HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:17 +0700] "GET /CNPM/resources/assets/vendor/bootstrap/css/bootstrap.min.css;jsessionid=71755A0CD145B9996503E11140EA87C4 HTTP/1.1" 200 164051
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:17 +0700] "GET /CNPM/resources/assets/css/style-v.css;jsessionid=71755A0CD145B9996503E11140EA87C4 HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:17 +0700] "GET /assets/vendor/echarts/echarts.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:17 +0700] "GET /assets/vendor/quill/quill.min.js HTTP/1.1" 404 717
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:17 +0700] "GET /assets/vendor/tinymce/tinymce.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:17 +0700] "GET /assets/vendor/simple-datatables/simple-datatables.js HTTP/1.1" 404 737
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:17 +0700] "GET /assets/js/main.js HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:17 +0700] "GET /assets/vendor/php-email-form/validate.js HTTP/1.1" 404 725
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:17 +0700] "GET /CNPM/resources/assets/vendor/remixicon/remixicon.css;jsessionid=71755A0CD145B9996503E11140EA87C4 HTTP/1.1" 200 110554
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:18 +0700] "GET /CNPM/resources/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?30af91bf14e37666a085fb8a161ff36d HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:18 +0700] "GET /CNPM/resources/assets/vendor/remixicon/remixicon.woff2?t=1590207869815 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:19 +0700] "GET /CNPM/QL_ChuyenXe.html HTTP/1.1" 200 22292
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:20 +0700] "GET /CNPM/resources/assets/vendor/boxicons/css/boxicons.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:20 +0700] "GET /CNPM/resources/assets/vendor/quill/quill.bubble.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:20 +0700] "GET /CNPM/resources/assets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:20 +0700] "GET /CNPM/resources/assets/vendor/simple-datatables/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:20 +0700] "GET /CNPM/resources/assets/vendor/quill/quill.snow.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:20 +0700] "GET /CNPM/resources/assets/css/style-v.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:20 +0700] "GET /CNPM/resources/assets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:20 +0700] "GET /CNPM/resources/assets/vendor/remixicon/remixicon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:20 +0700] "GET /CNPM/resources/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:20 +0700] "GET /CNPM/resources/assets/vendor/quill/quill.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:20 +0700] "GET /CNPM/resources/assets/vendor/echarts/echarts.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:20 +0700] "GET /CNPM/resources/assets/vendor/apexcharts/apexcharts.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:20 +0700] "GET /CNPM/resources/assets/vendor/simple-datatables/simple-datatables.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:20 +0700] "GET /CNPM/resources/assets/vendor/chart.js/chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:20 +0700] "GET /CNPM/resources/assets/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:20 +0700] "GET /CNPM/resources/assets/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:20 +0700] "GET /CNPM/resources/assets/img/profile-img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:20 +0700] "GET /CNPM/resources/assets/vendor/tinymce/tinymce.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:20 +0700] "GET /CNPM/resources/assets/vendor/php-email-form/validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:21 +0700] "GET /CNPM/resources/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2022:00:05:23 +0700] "GET /CNPM/QL_ChuyenXe/CX001%20%20%20%20%20.html?update HTTP/1.1" 500 4741
0:0:0:0:0:0:0:1 - - [12/May/2022:00:22:38 +0700] "GET /CNPM/QL_ChuyenXe.html HTTP/1.1" 200 22292
0:0:0:0:0:0:0:1 - - [12/May/2022:00:22:38 +0700] "GET /CNPM/resources/assets/img/favicon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2022:00:22:43 +0700] "GET /CNPM/QL_ChuyenXe/CX001%20%20%20%20%20.html?update HTTP/1.1" 500 5432
0:0:0:0:0:0:0:1 - - [12/May/2022:00:49:28 +0700] "GET /CNPM/QL_ChuyenXe.html HTTP/1.1" 200 22292
0:0:0:0:0:0:0:1 - - [12/May/2022:00:49:33 +0700] "GET /CNPM/QL_ChuyenXe/CX001%20%20%20%20%20.html?update HTTP/1.1" 500 5277
0:0:0:0:0:0:0:1 - - [12/May/2022:00:50:36 +0700] "GET /CNPM/QL_ChuyenXe.html HTTP/1.1" 200 22292
0:0:0:0:0:0:0:1 - - [12/May/2022:00:50:38 +0700] "GET /CNPM/QL_ChuyenXe.html HTTP/1.1" 200 22292
0:0:0:0:0:0:0:1 - - [12/May/2022:00:50:39 +0700] "GET /CNPM/QL_ChuyenXe.html HTTP/1.1" 200 22292
0:0:0:0:0:0:0:1 - - [12/May/2022:00:50:46 +0700] "GET /CNPM/QL_ChuyenXe.html HTTP/1.1" 200 22292
0:0:0:0:0:0:0:1 - - [12/May/2022:00:52:45 +0700] "GET /CNPM/QL_ChuyenXe/CX001%20%20%20%20%20.html?update HTTP/1.1" 500 5277
0:0:0:0:0:0:0:1 - - [12/May/2022:00:53:57 +0700] "GET /CNPM/QL_ChuyenXe.html HTTP/1.1" 200 22292
0:0:0:0:0:0:0:1 - - [12/May/2022:00:55:56 +0700] "GET /CNPM/QL_ChuyenXe/CX001%20%20%20%20%20.html?update HTTP/1.1" 500 5277
0:0:0:0:0:0:0:1 - - [12/May/2022:01:02:20 +0700] "GET /CNPM/QL_ChuyenXe.html HTTP/1.1" 200 22292
0:0:0:0:0:0:0:1 - - [12/May/2022:01:02:29 +0700] "GET /CNPM/QL_ChuyenXe/CX001%20%20%20%20%20.html?update HTTP/1.1" 500 5277
0:0:0:0:0:0:0:1 - - [12/May/2022:01:07:11 +0700] "GET /CNPM/QL_ChuyenXe.html HTTP/1.1" 200 22292
0:0:0:0:0:0:0:1 - - [12/May/2022:01:07:37 +0700] "GET /CNPM/QL_ChuyenXe/CX001%20%20%20%20%20.html?update HTTP/1.1" 500 5432
0:0:0:0:0:0:0:1 - - [12/May/2022:01:09:39 +0700] "GET /CNPM/QL_ChuyenXe.html HTTP/1.1" 200 22292
0:0:0:0:0:0:0:1 - - [12/May/2022:01:09:41 +0700] "GET /CNPM/QL_ChuyenXe/CX001%20%20%20%20%20.html?update HTTP/1.1" 500 5277
0:0:0:0:0:0:0:1 - - [12/May/2022:01:26:47 +0700] "GET /CNPM/QL_ChuyenXe.html HTTP/1.1" 200 22292
0:0:0:0:0:0:0:1 - - [12/May/2022:01:26:54 +0700] "GET /CNPM/QL_ChuyenXe/CX001%20%20%20%20%20.html?update HTTP/1.1" 500 5276
0:0:0:0:0:0:0:1 - - [12/May/2022:01:26:57 +0700] "GET /CNPM/QL_ChuyenXe.html HTTP/1.1" 200 22292
0:0:0:0:0:0:0:1 - - [12/May/2022:01:26:58 +0700] "GET /CNPM/QL_ChuyenXe.html HTTP/1.1" 200 22292
0:0:0:0:0:0:0:1 - - [12/May/2022:01:26:59 +0700] "GET /CNPM/QL_ChuyenXe.html HTTP/1.1" 200 22292
0:0:0:0:0:0:0:1 - - [12/May/2022:01:27:00 +0700] "GET /CNPM/QL_ChuyenXe.html HTTP/1.1" 200 22292
0:0:0:0:0:0:0:1 - - [12/May/2022:01:27:01 +0700] "GET /CNPM/QL_ChuyenXe.html HTTP/1.1" 200 22292
0:0:0:0:0:0:0:1 - - [12/May/2022:01:27:01 +0700] "GET /CNPM/QL_ChuyenXe.html HTTP/1.1" 200 22292
0:0:0:0:0:0:0:1 - - [12/May/2022:01:27:05 +0700] "GET /CNPM/QL_ChuyenXe.html HTTP/1.1" 200 22292
0:0:0:0:0:0:0:1 - - [12/May/2022:01:27:06 +0700] "GET /CNPM/QL_ChuyenXe.html HTTP/1.1" 200 22292
0:0:0:0:0:0:0:1 - - [12/May/2022:01:33:06 +0700] "GET /CNPM/QL_ChuyenXe.html HTTP/1.1" 200 22292
0:0:0:0:0:0:0:1 - - [12/May/2022:01:33:16 +0700] "GET /CNPM/QL_ChuyenXe.html HTTP/1.1" 200 22292
0:0:0:0:0:0:0:1 - - [12/May/2022:01:33:18 +0700] "GET /CNPM/QL_ChuyenXe/CX001%20%20%20%20%20.html?update HTTP/1.1" 500 5277
0:0:0:0:0:0:0:1 - - [12/May/2022:01:34:32 +0700] "GET /CNPM/QL_ChuyenXe.html HTTP/1.1" 200 22292
0:0:0:0:0:0:0:1 - - [12/May/2022:01:34:34 +0700] "GET /CNPM/QL_ChuyenXe/CX001%20%20%20%20%20.html?update HTTP/1.1" 500 5431
0:0:0:0:0:0:0:1 - - [12/May/2022:01:41:36 +0700] "GET /CNPM/QL_ChuyenXe.html HTTP/1.1" 200 22292
0:0:0:0:0:0:0:1 - - [12/May/2022:01:41:38 +0700] "GET /CNPM/QL_ChuyenXe/CX001%20%20%20%20%20.html?update HTTP/1.1" 500 5432
0:0:0:0:0:0:0:1 - - [12/May/2022:01:43:01 +0700] "GET /CNPM/QL_ChuyenXe.html HTTP/1.1" 200 22292
0:0:0:0:0:0:0:1 - - [12/May/2022:01:43:02 +0700] "GET /CNPM/QL_ChuyenXe/CX001%20%20%20%20%20.html?update HTTP/1.1" 500 5277
