127.0.0.1 - - [21/May/2022:07:09:31 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/May/2022:07:09:32 +0700] "GET /CNPM/ HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [21/May/2022:07:09:33 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [21/May/2022:07:09:42 +0700] "GET /CNPM/QuanLy/QL_TrangChu.html HTTP/1.1" 200 19636
0:0:0:0:0:0:0:1 - - [21/May/2022:07:09:43 +0700] "GET /CNPM/resources/assets/vendor/boxicons/css/boxicons.min.css;jsessionid=84ECE1E771489B35FB4F9E4193317461 HTTP/1.1" 200 65833
0:0:0:0:0:0:0:1 - - [21/May/2022:07:09:43 +0700] "GET /CNPM/resources/assets/vendor/bootstrap/css/bootstrap.min.css;jsessionid=84ECE1E771489B35FB4F9E4193317461 HTTP/1.1" 200 164051
0:0:0:0:0:0:0:1 - - [21/May/2022:07:09:43 +0700] "GET /CNPM/resources/assets/vendor/remixicon/remixicon.css;jsessionid=84ECE1E771489B35FB4F9E4193317461 HTTP/1.1" 200 110554
0:0:0:0:0:0:0:1 - - [21/May/2022:07:09:43 +0700] "GET /CNPM/resources/assets/vendor/bootstrap-icons/bootstrap-icons.css;jsessionid=84ECE1E771489B35FB4F9E4193317461 HTTP/1.1" 200 73348
0:0:0:0:0:0:0:1 - - [21/May/2022:07:09:43 +0700] "GET /CNPM/resources/assets/vendor/quill/quill.snow.css;jsessionid=84ECE1E771489B35FB4F9E4193317461 HTTP/1.1" 200 24778
0:0:0:0:0:0:0:1 - - [21/May/2022:07:09:43 +0700] "GET /CNPM/resources/assets/vendor/quill/quill.bubble.css;jsessionid=84ECE1E771489B35FB4F9E4193317461 HTTP/1.1" 200 25309
0:0:0:0:0:0:0:1 - - [21/May/2022:07:09:43 +0700] "GET /CNPM/resources/assets/vendor/simple-datatables/style.css;jsessionid=84ECE1E771489B35FB4F9E4193317461 HTTP/1.1" 200 3079
0:0:0:0:0:0:0:1 - - [21/May/2022:07:09:43 +0700] "GET /assets/vendor/apexcharts/apexcharts.min.js HTTP/1.1" 404 727
0:0:0:0:0:0:0:1 - - [21/May/2022:07:09:43 +0700] "GET /assets/vendor/chart.js/chart.min.js HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [21/May/2022:07:09:43 +0700] "GET /assets/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [21/May/2022:07:09:43 +0700] "GET /assets/vendor/quill/quill.min.js HTTP/1.1" 404 717
0:0:0:0:0:0:0:1 - - [21/May/2022:07:09:43 +0700] "GET /assets/vendor/simple-datatables/simple-datatables.js HTTP/1.1" 404 737
0:0:0:0:0:0:0:1 - - [21/May/2022:07:09:43 +0700] "GET /assets/vendor/echarts/echarts.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/May/2022:07:09:43 +0700] "GET /assets/vendor/php-email-form/validate.js HTTP/1.1" 404 725
0:0:0:0:0:0:0:1 - - [21/May/2022:07:09:43 +0700] "GET /assets/vendor/tinymce/tinymce.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [21/May/2022:07:09:43 +0700] "GET /CNPM/resources/assets/css/style.css;jsessionid=84ECE1E771489B35FB4F9E4193317461 HTTP/1.1" 200 21185
0:0:0:0:0:0:0:1 - - [21/May/2022:07:09:43 +0700] "GET /CNPM/resources/assets/img/logo.png;jsessionid=84ECE1E771489B35FB4F9E4193317461 HTTP/1.1" 200 738
0:0:0:0:0:0:0:1 - - [21/May/2022:07:09:43 +0700] "GET /CNPM/resources/assets/img/profile-img.jpg;jsessionid=84ECE1E771489B35FB4F9E4193317461 HTTP/1.1" 200 4957
0:0:0:0:0:0:0:1 - - [21/May/2022:07:09:43 +0700] "GET /CNPM/resources/assets/css/style-v.css;jsessionid=84ECE1E771489B35FB4F9E4193317461 HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [21/May/2022:07:09:43 +0700] "GET /CNPM/resources/assets/js/main.js;jsessionid=84ECE1E771489B35FB4F9E4193317461 HTTP/1.1" 200 9313
0:0:0:0:0:0:0:1 - - [21/May/2022:07:09:43 +0700] "GET /CNPM/resources/assets/vendor/remixicon/remixicon.woff2?t=1590207869815 HTTP/1.1" 200 125268
0:0:0:0:0:0:0:1 - - [21/May/2022:07:09:43 +0700] "GET /CNPM/resources/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?30af91bf14e37666a085fb8a161ff36d HTTP/1.1" 200 92064
0:0:0:0:0:0:0:1 - - [21/May/2022:07:09:44 +0700] "GET /CNPM/resources/assets/img/favicon.png;jsessionid=84ECE1E771489B35FB4F9E4193317461 HTTP/1.1" 200 610
0:0:0:0:0:0:0:1 - - [21/May/2022:07:09:46 +0700] "GET /CNPM/QuanLy/QL_TuyenXe.html HTTP/1.1" 500 14944
0:0:0:0:0:0:0:1 - - [21/May/2022:07:09:51 +0700] "GET /CNPM/QuanLy/QL_NhanVien.html HTTP/1.1" 500 14948
