127.0.0.1 - - [19/May/2022:21:19:19 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/May/2022:21:19:20 +0700] "GET /CNPM/ HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [19/May/2022:21:19:21 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [19/May/2022:21:19:34 +0700] "GET /CNPM/QuanLy/QL_TrangChu.html HTTP/1.1" 200 19636
0:0:0:0:0:0:0:1 - - [19/May/2022:21:19:34 +0700] "GET /CNPM/resources/assets/vendor/quill/quill.bubble.css;jsessionid=1F7981F51E62188E1997C5DAE0F561B0 HTTP/1.1" 200 25309
0:0:0:0:0:0:0:1 - - [19/May/2022:21:19:34 +0700] "GET /CNPM/resources/assets/vendor/boxicons/css/boxicons.min.css;jsessionid=1F7981F51E62188E1997C5DAE0F561B0 HTTP/1.1" 200 65833
0:0:0:0:0:0:0:1 - - [19/May/2022:21:19:34 +0700] "GET /CNPM/resources/assets/vendor/bootstrap-icons/bootstrap-icons.css;jsessionid=1F7981F51E62188E1997C5DAE0F561B0 HTTP/1.1" 200 73348
0:0:0:0:0:0:0:1 - - [19/May/2022:21:19:34 +0700] "GET /CNPM/resources/assets/vendor/simple-datatables/style.css;jsessionid=1F7981F51E62188E1997C5DAE0F561B0 HTTP/1.1" 200 3079
0:0:0:0:0:0:0:1 - - [19/May/2022:21:19:35 +0700] "GET /CNPM/resources/assets/vendor/bootstrap/css/bootstrap.min.css;jsessionid=1F7981F51E62188E1997C5DAE0F561B0 HTTP/1.1" 200 164051
0:0:0:0:0:0:0:1 - - [19/May/2022:21:19:35 +0700] "GET /CNPM/resources/assets/vendor/remixicon/remixicon.css;jsessionid=1F7981F51E62188E1997C5DAE0F561B0 HTTP/1.1" 200 110554
0:0:0:0:0:0:0:1 - - [19/May/2022:21:19:35 +0700] "GET /CNPM/resources/assets/css/style.css;jsessionid=1F7981F51E62188E1997C5DAE0F561B0 HTTP/1.1" 200 21185
